Station,Year,Month,Day,Daily Rainfall Total (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm)
Pasir Panjang,2018,1,1,54.6,25.2,27.0,23.5,10.1,30.6,12.6,15.6,24.2
Pasir Panjang,2018,1,2,2.8,25.8,28.0,24.8,9.0,27.0,1.6,2.2,2.8
Pasir Panjang,2018,1,3,0.0,26.8,31.1,24.8,8.6,25.2,0.0,0.0,0.0
Pasir Panjang,2018,1,4,1.8,26.9,29.5,24.9,9.7,39.6,1.6,1.6,1.6
Pasir Panjang,2018,1,5,18.6,26.4,28.3,24.2,6.1,20.9,8.4,11.4,16.8
Pasir Panjang,2018,1,6,0.0,27.5,30.1,25.3,7.6,20.9,0.0,0.0,0.0
Pasir Panjang,2018,1,7,0.0,27.9,32.3,26.2,7.9,25.9,0.0,0.0,0.0
Pasir Panjang,2018,1,8,23.4,27.0,30.3,24.2,7.6,31.0,8.8,9.0,9.0
Pasir Panjang,2018,1,9,34.8,26.9,31.8,23.4,10.8,46.4,24.6,28.0,34.8
Pasir Panjang,2018,1,10,10.2,25.2,27.2,23.7,10.8,33.8,1.2,2.4,3.8
Pasir Panjang,2018,1,11,9.6,24.2,25.6,22.6,20.5,58.7,4.4,4.6,4.8
Pasir Panjang,2018,1,12,3.0,23.2,24.5,22.4,20.9,51.1,0.4,0.6,1.0
Pasir Panjang,2018,1,13,9.8,23.2,24.3,22.7,16.9,43.2,1.4,2.2,3.0
Pasir Panjang,2018,1,14,4.4,23.9,25.8,22.0,15.5,49.7,1.0,1.6,2.6
Pasir Panjang,2018,1,15,0.8,25.1,27.6,23.4,14.4,43.2,0.6,0.6,0.6
Pasir Panjang,2018,1,16,0.0,26.7,29.6,24.2,13.3,37.4,0.0,0.0,0.0
Pasir Panjang,2018,1,17,0.0,27.3,31.7,25.3,10.8,38.5,0.0,0.0,0.0
Pasir Panjang,2018,1,18,1.0,27.3,31.7,25.1,11.5,31.0,1.0,1.0,1.0
Pasir Panjang,2018,1,19,24.0,26.9,32.1,24.7,9.4,32.4,21.6,23.6,24.0
Pasir Panjang,2018,1,20,17.4,26.6,28.8,24.4,8.6,38.9,17.2,17.2,17.2
Pasir Panjang,2018,1,21,0.0,27.8,31.3,25.2,13.3,37.8,0.0,0.0,0.0
Pasir Panjang,2018,1,22,0.0,28.3,31.3,26.0,12.6,43.2,0.0,0.0,0.0
Pasir Panjang,2018,1,23,3.8,27.4,30.0,25.5,10.8,57.2,3.8,3.8,3.8
Pasir Panjang,2018,1,24,53.4,26.6,31.1,23.3,10.1,47.2,16.6,20.0,30.8
Pasir Panjang,2018,1,25,0.2,26.8,30.3,24.5,9.4,33.1,0.2,0.2,0.2
Pasir Panjang,2018,1,26,31.6,26.6,30.5,23.9,8.3,42.5,21.8,26.2,31.6
Pasir Panjang,2018,1,27,0.0,27.9,31.5,25.3,9.7,32.0,0.0,0.0,0.0
Pasir Panjang,2018,1,28,1.8,27.2,31.7,25.6,9.7,30.2,1.4,1.4,1.4
Pasir Panjang,2018,1,29,0.0,27.9,31.2,25.0,14.8,45.7,0.0,0.0,0.0
Pasir Panjang,2018,1,30,0.0,28.0,31.9,26.5,11.2,32.0,0.0,0.0,0.0
Pasir Panjang,2018,1,31,0.0,27.8,32.0,25.8,11.2,27.7,0.0,0.0,0.0
Pasir Panjang,2018,2,1,0.6,28.5,32.6,26.4,14.8,47.2,0.6,0.6,0.6
Pasir Panjang,2018,2,2,5.6,26.1,28.0,24.8,13.7,40.0,4.0,5.4,5.4
Pasir Panjang,2018,2,3,0.0,27.5,30.9,25.0,15.5,46.4,0.0,0.0,0.0
Pasir Panjang,2018,2,4,0.0,27.1,30.4,25.7,15.8,47.5,0.0,0.0,0.0
Pasir Panjang,2018,2,5,1.2,27.1,30.1,25.5,17.6,50.8,1.2,1.2,1.2
Pasir Panjang,2018,2,6,0.0,26.9,30.5,24.9,17.3,43.9,0.0,0.0,0.0
Pasir Panjang,2018,2,7,0.0,26.3,28.6,24.8,15.8,45.7,0.0,0.0,0.0
Pasir Panjang,2018,2,8,0.0,26.7,30.7,24.4,15.5,41.8,0.0,0.0,0.0
Pasir Panjang,2018,2,9,0.0,27.0,31.2,24.2,14.4,38.9,0.0,0.0,0.0
Pasir Panjang,2018,2,10,0.0,27.0,30.8,24.3,14.4,34.6,0.0,0.0,0.0
Pasir Panjang,2018,2,11,0.0,27.3,31.2,24.8,16.6,40.7,0.0,0.0,0.0
Pasir Panjang,2018,2,12,0.0,27.5,31.7,24.9,18.7,50.0,0.0,0.0,0.0
Pasir Panjang,2018,2,13,0.0,27.7,32.1,25.2,13.7,36.4,0.0,0.0,0.0
Pasir Panjang,2018,2,14,0.0,27.4,31.6,25.1,13.0,35.3,0.0,0.0,0.0
Pasir Panjang,2018,2,15,0.0,27.7,32.1,25.5,10.8,32.0,0.0,0.0,0.0
Pasir Panjang,2018,2,16,0.0,27.5,30.8,25.4,10.8,27.4,0.0,0.0,0.0
Pasir Panjang,2018,2,17,0.0,27.8,31.3,25.4,11.9,31.0,0.0,0.0,0.0
