"","x"
"1",0.465
"2",0.532
"3",0.561
"4",0.57
"5",0.529
"6",0.604
"7",0.603
"8",0.582
"9",0.554
"10",0.62
"11",0.646
"12",0.637
"13",0.573
"14",0.673
"15",0.69
"16",0.681
"17",0.621
"18",0.698
"19",0.753
"20",0.728
"21",0.688
"22",0.737
"23",0.742
"24",0.692
"25",0.637
"26",0.757
"27",0.783
"28",0.757
"29",0.674
"30",0.774
"31",0.835
"32",0.838
"33",0.797
"34",0.904
"35",0.949
"36",0.975
"37",0.902
"38",0.974
"39",0.969
"40",0.967
"41",0.849
"42",0.961
"43",0.966
"44",0.922
"45",0.836
"46",0.998
"47",1.025
"48",0.971
"49",0.892
"50",0.973
"51",1.047
"52",1.017
"53",0.948
"54",1.032
"55",1.19
"56",1.136
"57",1.049
"58",1.134
"59",1.229
"60",1.188
"61",1.058
"62",1.209
"63",1.199
"64",1.253
"65",1.07
"66",1.282
"67",1.303
"68",1.281
"69",1.148
"70",1.305
"71",1.342
"72",1.452
"73",1.184
"74",1.352
"75",1.316
"76",1.353
"77",1.121
"78",1.297
"79",1.318
"80",1.281
"81",1.109
"82",1.299
"83",1.341
"84",1.29
"85",1.101
"86",1.284
"87",1.321
"88",1.317
"89",1.122
"90",1.261
"91",1.312
"92",1.298
"93",1.205
"94",1.302
"95",1.377
"96",1.359
"97",1.232
"98",1.386
"99",1.44
"100",1.439
"101",1.282
"102",1.573
"103",1.533
"104",1.641
"105",1.337
"106",1.575
"107",1.475
"108",1.357
"109",1.086
"110",1.158
"111",1.279
"112",1.313
"113",1.166
"114",1.373
"115",1.456
"116",1.495
"117",1.251
"118",1.456
"119",1.631
"120",1.555
"121",1.375
"122",1.546
"123",1.568
"124",1.561
"125",1.332
"126",1.458
"127",1.501
"128",1.615
"129",1.418
"130",1.625
"131",1.77
"132",1.791
"133",1.621
"134",1.719
"135",1.972
"136",1.894
"137",1.565
"138",1.645
"139",1.658
"140",1.668
"141",1.343
"142",1.441
"143",1.444
"144",1.497
"145",1.289
"146",1.501
"147",1.539
"148",1.568
"149",1.45
"150",1.668
"151",1.648
"152",1.863
"153",1.468
"154",1.755
"155",1.962
"156",1.833
"157",1.626
"158",1.703
"159",1.733
"160",1.545
"161",1.526
"162",1.593
"163",1.706
"164",1.699
"165",1.511
"166",1.785
"167",1.826
"168",1.83
"169",1.719
"170",1.861
"171",1.956
"172",2.067
"173",1.737
"174",1.944
"175",2.005
"176",2.027
"177",1.835
"178",2.07
"179",1.898
"180",1.652
"181",1.554
"182",1.717
"183",1.679
"184",1.836
"185",1.729
"186",1.992
"187",2.03
"188",1.978
"189",1.831
"190",1.892
"191",2.227
"192",2.09
"193",1.963
"194",2.18
"195",2.307
"196",2.157
"197",1.98
"198",2.481
"199",2.34
"200",2.265
"201",2.027
"202",2.278
"203",2.427
"204",2.451
"205",2.14
"206",2.362
"207",2.536
"208",2.562
"209",2.183
"210",2.558
"211",2.612
"212",2.373
"213",1.963
"214",2.16
"215",2.325
"216",2.273
"217",1.904
"218",2.401
"219",2.494
"220",2.296
"221",2.055
"222",2.273
"223",2.499
"224",2.39
"225",2.067
"226",2.223
"227",2.451
"228",2.503
"229",2.049
"230",2.528
"231",2.637
"232",2.565
"233",2.229
